BOOKID,ORDER_DATE,CARRID,CONNID,FLDATE,WEEKDAY,MONTH,DAYS_BOOKED_AHEAD,LUGGWEIGHT,CUSTTYPE,COUNTER,AGENCYNUM,INVOICE,COUNTRYFR,CITYFROM,AIRPFROM,COUNTRYTO,CITYTO,AIRPTO,FLTIME,DEPTIME,ARRTIME,PERIOD,CLASS,BOOKED_PRICE,TPRICE_180N,TPRICE_90N,TPRICE_30N,TPRICE_7N
6454,20220829,LH,402,20221228,2,12,121,0,P,0,116,X,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1455,133000,150500,2,Y,666,599.4,666,699.3,705.96
6463,20220912,LH,402,20221228,2,12,107,0,P,0,291,,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1455,133000,150500,2,Y,666,599.4,666,699.3,705.96
6528,20221107,LH,402,20221228,2,12,51,0,P,0,110,,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1455,133000,150500,2,Y,666,599.4,616.05,666,699.3
6550,20220913,LH,402,20221228,2,12,106,0,P,0,105,X,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1455,133000,150500,2,Y,666,599.4,666,699.3,705.96
6603,20220912,LH,402,20221228,2,12,107,0,P,0,284,,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1455,133000,150500,2,Y,666,599.4,666,699.3,705.96
1588,20221017,LH,400,20221228,2,12,72,0,P,0,101,,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1444,101000,113400,2,Y,566.09,509.481,523.63325,566.09,594.3945
1601,20220911,LH,400,20221228,2,12,108,0,P,0,87,,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1444,101000,113400,2,Y,566.09,509.481,566.09,594.3945,600.0554
1632,20221004,LH,400,20221228,2,12,85,0,P,0,121,,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1444,101000,113400,2,Y,566.09,509.481,523.63325,566.09,594.3945
1728,20221125,LH,400,20221228,2,12,33,0,P,0,294,,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1444,101000,113400,2,Y,566.09,509.481,523.63325,566.09,594.3945
1735,20220801,LH,400,20221228,2,12,149,0,P,0,120,,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1444,101000,113400,2,Y,566.09,509.481,566.09,594.3945,600.0554
1890,20221111,LH,400,20221228,2,12,47,0,P,0,121,,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1444,101000,113400,2,Y,566.09,509.481,523.63325,566.09,594.3945
3636,20221014,LH,401,20221228,2,12,75,0,P,0,116,,US,NEW YORK,JFK,DE,FRANKFURT,FRA,1435,183000,74500,2,Y,566.09,509.481,523.63325,566.09,594.3945
3740,20221017,LH,401,20221228,2,12,72,0,P,0,105,X,US,NEW YORK,JFK,DE,FRANKFURT,FRA,1435,183000,74500,2,Y,566.09,509.481,523.63325,566.09,594.3945
3760,20221001,LH,401,20221228,2,12,88,0,P,0,93,X,US,NEW YORK,JFK,DE,FRANKFURT,FRA,1435,183000,74500,2,Y,566.09,509.481,523.63325,566.09,594.3945
3810,20220912,LH,401,20221228,2,12,107,0,P,0,116,X,US,NEW YORK,JFK,DE,FRANKFURT,FRA,1435,183000,74500,2,Y,566.09,509.481,566.09,594.3945,600.0554
6173,20220912,LH,402,20221228,2,12,107,0,P,0,116,X,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1455,133000,150500,2,Y,566.09,509.481,566.09,594.3945,600.0554
6240,20221126,LH,402,20221228,2,12,32,0,P,0,124,X,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1455,133000,150500,2,Y,566.09,509.481,523.63325,566.09,594.3945
6296,20221204,LH,402,20221228,2,12,24,0,P,0,117,,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1455,133000,150500,2,Y,566.09,509.481,523.63325,537.7855,566.09
6347,20221004,LH,402,20221228,2,12,85,0,P,0,116,X,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1455,133000,150500,2,Y,566.09,509.481,523.63325,566.09,594.3945
6378,20220909,LH,402,20221228,2,12,110,0,P,0,87,,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1455,133000,150500,2,Y,566.09,509.481,566.09,594.3945,600.0554
6382,20221021,LH,402,20221228,2,12,68,0,P,0,188,,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1455,133000,150500,2,Y,566.09,509.481,523.63325,566.09,594.3945
6514,20221203,LH,402,20221228,2,12,25,0,P,0,294,,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1455,133000,150500,2,Y,566.09,509.481,523.63325,537.7855,566.09
6570,20220830,LH,402,20221228,2,12,120,0,P,0,93,X,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1455,133000,150500,2,Y,566.09,509.481,566.09,594.3945,600.0554
6620,20221130,LH,402,20221228,2,12,28,0,P,0,116,X,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1455,133000,150500,2,Y,566.09,509.481,523.63325,537.7855,566.09
6628,20221116,LH,402,20221228,2,12,42,0,P,0,116,X,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1455,133000,150500,2,Y,566.09,509.481,523.63325,566.09,594.3945
1562,20221022,LH,400,20221228,2,12,67,0,P,0,116,X,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1444,101000,113400,2,Y,599.4,539.46,554.445,599.4,629.37
1570,20221117,LH,400,20221228,2,12,41,0,P,0,116,X,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1444,101000,113400,2,Y,599.4,539.46,554.445,599.4,629.37
1571,20221203,LH,400,20221228,2,12,25,0,P,0,117,,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1444,101000,113400,2,Y,599.4,539.46,554.445,569.43,599.4
1593,20221001,LH,400,20221228,2,12,88,0,P,0,122,,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1444,101000,113400,2,Y,599.4,539.46,554.445,599.4,629.37
1644,20221114,LH,400,20221228,2,12,44,0,P,0,284,X,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1444,101000,113400,2,Y,599.4,539.46,554.445,599.4,629.37
1649,20221210,LH,400,20221228,2,12,18,0,P,0,105,,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1444,101000,113400,2,Y,599.4,539.46,554.445,569.43,599.4
1668,20221107,LH,400,20221228,2,12,51,0,P,0,115,,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1444,101000,113400,2,Y,599.4,539.46,554.445,599.4,629.37
1673,20221203,LH,400,20221228,2,12,25,0,P,0,294,X,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1444,101000,113400,2,Y,599.4,539.46,554.445,569.43,599.4
1777,20221107,LH,400,20221228,2,12,51,0,P,0,119,X,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1444,101000,113400,2,Y,599.4,539.46,554.445,599.4,629.37
1793,20221021,LH,400,20221228,2,12,68,0,P,0,93,X,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1444,101000,113400,2,Y,599.4,539.46,554.445,599.4,629.37
1796,20221008,LH,400,20221228,2,12,81,0,P,0,110,X,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1444,101000,113400,2,Y,599.4,539.46,554.445,599.4,629.37
3602,20221101,LH,401,20221228,2,12,57,0,P,0,61,,US,NEW YORK,JFK,DE,FRANKFURT,FRA,1435,183000,74500,2,Y,599.4,539.46,554.445,599.4,629.37
3623,20220908,LH,401,20221228,2,12,111,0,P,0,291,,US,NEW YORK,JFK,DE,FRANKFURT,FRA,1435,183000,74500,2,Y,599.4,539.46,599.4,629.37,635.364
3681,20221006,LH,401,20221228,2,12,83,0,P,0,93,X,US,NEW YORK,JFK,DE,FRANKFURT,FRA,1435,183000,74500,2,Y,599.4,539.46,554.445,599.4,629.37
3749,20221118,LH,401,20221228,2,12,40,0,P,0,101,X,US,NEW YORK,JFK,DE,FRANKFURT,FRA,1435,183000,74500,2,Y,599.4,539.46,554.445,599.4,629.37
3819,20220823,LH,401,20221228,2,12,127,0,P,0,117,,US,NEW YORK,JFK,DE,FRANKFURT,FRA,1435,183000,74500,2,Y,599.4,539.46,599.4,629.37,635.364
1677,20221116,LH,400,20221228,2,12,42,0,P,0,116,X,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1444,101000,113400,2,Y,666,599.4,616.05,666,699.3
1737,20221213,LH,400,20221228,2,12,15,0,P,0,294,,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1444,101000,113400,2,Y,666,599.4,616.05,632.7,666
1843,20221112,LH,400,20221228,2,12,46,0,P,0,116,X,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1444,101000,113400,2,Y,666,599.4,616.05,666,699.3
1851,20221129,LH,400,20221228,2,12,29,0,P,0,116,X,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1444,101000,113400,2,Y,666,599.4,616.05,632.7,666
3583,20221121,LH,401,20221228,2,12,37,0,P,0,224,X,US,NEW YORK,JFK,DE,FRANKFURT,FRA,1435,183000,74500,2,Y,666,599.4,616.05,666,699.3
3599,20221015,LH,401,20221228,2,12,74,0,P,0,121,,US,NEW YORK,JFK,DE,FRANKFURT,FRA,1435,183000,74500,2,Y,666,599.4,616.05,666,699.3
3616,20221106,LH,401,20221228,2,12,52,0,P,0,105,,US,NEW YORK,JFK,DE,FRANKFURT,FRA,1435,183000,74500,2,Y,666,599.4,616.05,666,699.3
3767,20221206,LH,401,20221228,2,12,22,0,P,0,117,,US,NEW YORK,JFK,DE,FRANKFURT,FRA,1435,183000,74500,2,Y,666,599.4,616.05,632.7,666
3800,20221203,LH,401,20221228,2,12,25,0,P,0,284,,US,NEW YORK,JFK,DE,FRANKFURT,FRA,1435,183000,74500,2,Y,666,599.4,616.05,632.7,666
3829,20221105,LH,401,20221228,2,12,53,0,P,0,122,X,US,NEW YORK,JFK,DE,FRANKFURT,FRA,1435,183000,74500,2,Y,666,599.4,616.05,666,699.3
9099,20220724,LH,2402,20221128,0,11,127,0,P,0,93,X,DE,FRANKFURT,FRA,DE,BERLIN,SXF,165,103000,113500,2,Y,205.69,185.121,205.69,215.9745,218.0314
9132,20220715,LH,2402,20221128,0,11,136,0,P,0,284,,DE,FRANKFURT,FRA,DE,BERLIN,SXF,165,103000,113500,2,Y,205.69,185.121,205.69,215.9745,218.0314
9135,20220809,LH,2402,20221128,0,11,111,0,P,0,101,X,DE,FRANKFURT,FRA,DE,BERLIN,SXF,165,103000,113500,2,Y,205.69,185.121,205.69,215.9745,218.0314
9188,20220911,LH,2402,20221128,0,11,78,0,P,0,87,,DE,FRANKFURT,FRA,DE,BERLIN,SXF,165,103000,113500,2,Y,205.69,185.121,190.26325,205.69,215.9745
9192,20220701,LH,2402,20221128,0,11,150,0,P,0,188,,DE,FRANKFURT,FRA,DE,BERLIN,SXF,165,103000,113500,2,Y,205.69,185.121,205.69,215.9745,218.0314
9216,20220822,LH,2402,20221128,0,11,98,0,P,0,122,X,DE,FRANKFURT,FRA,DE,BERLIN,SXF,165,103000,113500,2,Y,205.69,185.121,205.69,215.9745,218.0314
9231,20220730,LH,2402,20221128,0,11,121,0,P,0,284,X,DE,FRANKFURT,FRA,DE,BERLIN,SXF,165,103000,113500,2,Y,205.69,185.121,205.69,215.9745,218.0314
9243,20220709,LH,2402,20221128,0,11,142,0,P,0,291,,DE,FRANKFURT,FRA,DE,BERLIN,SXF,165,103000,113500,2,Y,205.69,185.121,205.69,215.9745,218.0314
9256,20220720,LH,2402,20221128,0,11,131,0,P,0,116,,DE,FRANKFURT,FRA,DE,BERLIN,SXF,165,103000,113500,2,Y,205.69,185.121,205.69,215.9745,218.0314
9222,20220717,LH,2402,20221128,0,11,134,0,P,0,61,,DE,FRANKFURT,FRA,DE,BERLIN,SXF,165,103000,113500,2,Y,205.69,185.121,205.69,215.9745,218.0314
9324,20220926,LH,2402,20221128,0,11,63,0,P,0,294,,DE,FRANKFURT,FRA,DE,BERLIN,SXF,165,103000,113500,2,Y,205.69,185.121,190.26325,205.69,215.9745
1300,20221107,LH,400,20221128,0,11,21,0,P,0,122,X,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1444,101000,113400,2,Y,666,599.4,616.05,632.7,666
1189,20221104,LH,400,20221128,0,11,24,0,P,0,110,,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1444,101000,113400,2,Y,566.09,509.481,523.63325,537.7855,566.09
1328,20221109,LH,400,20221128,0,11,19,0,P,0,121,,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1444,101000,113400,2,Y,566.09,509.481,523.63325,537.7855,566.09
1354,20221022,LH,400,20221128,0,11,37,0,P,0,61,,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1444,101000,113400,2,Y,566.09,509.481,523.63325,566.09,594.3945
3421,20221015,LH,401,20221128,0,11,44,0,P,0,120,,US,NEW YORK,JFK,DE,FRANKFURT,FRA,1435,183000,74500,2,Y,566.09,509.481,523.63325,566.09,594.3945
3431,20221027,LH,401,20221128,0,11,32,0,P,0,224,,US,NEW YORK,JFK,DE,FRANKFURT,FRA,1435,183000,74500,2,Y,566.09,509.481,523.63325,566.09,594.3945
5679,20220910,LH,402,20221128,0,11,79,0,P,0,224,,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1455,133000,150500,2,Y,566.09,509.481,523.63325,566.09,594.3945
5831,20220920,LH,402,20221128,0,11,69,0,P,0,224,X,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1455,133000,150500,2,Y,566.09,509.481,523.63325,566.09,594.3945
5847,20220910,LH,402,20221128,0,11,79,0,P,0,121,,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1455,133000,150500,2,Y,566.09,509.481,523.63325,566.09,594.3945
5880,20221106,LH,402,20221128,0,11,22,0,P,0,115,X,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1455,133000,150500,2,Y,566.09,509.481,523.63325,537.7855,566.09
5892,20221024,LH,402,20221128,0,11,35,0,P,0,116,X,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1455,133000,150500,2,Y,566.09,509.481,523.63325,566.09,594.3945
1183,20221023,LH,400,20221128,0,11,36,0,P,0,224,,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1444,101000,113400,2,Y,599.4,539.46,554.445,599.4,629.37
1387,20221101,LH,400,20221128,0,11,27,0,P,0,115,,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1444,101000,113400,2,Y,599.4,539.46,554.445,569.43,599.4
3302,20221102,LH,401,20221128,0,11,26,0,P,0,224,X,US,NEW YORK,JFK,DE,FRANKFURT,FRA,1435,183000,74500,2,Y,599.4,539.46,554.445,569.43,599.4
1289,20221114,LH,400,20221128,0,11,14,0,P,0,116,X,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1444,101000,113400,2,Y,666,599.4,616.05,632.7,666
1392,20221011,LH,400,20221128,0,11,48,0,P,0,294,X,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1444,101000,113400,2,Y,666,599.4,616.05,666,699.3
3318,20221102,LH,401,20221128,0,11,26,0,P,0,121,,US,NEW YORK,JFK,DE,FRANKFURT,FRA,1435,183000,74500,2,Y,666,599.4,616.05,632.7,666
3351,20221101,LH,401,20221128,0,11,27,0,P,0,115,X,US,NEW YORK,JFK,DE,FRANKFURT,FRA,1435,183000,74500,2,Y,666,599.4,616.05,632.7,666
5671,20221014,LH,402,20221128,0,11,45,0,P,0,294,,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1455,133000,150500,2,Y,666,599.4,616.05,666,699.3
5966,20221111,LH,402,20221128,0,11,17,0,P,0,110,,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1455,133000,150500,2,Y,666,599.4,616.05,632.7,666
6011,20220814,LH,402,20221128,0,11,106,0,P,0,110,X,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1455,133000,150500,2,Y,666,599.4,666,699.3,705.96
6048,20221114,LH,402,20221128,0,11,14,0,P,0,284,,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1455,133000,150500,2,Y,666,599.4,616.05,632.7,666
1211,20221009,LH,400,20221128,0,11,50,0,P,0,105,X,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1444,101000,113400,2,Y,566.09,509.481,523.63325,566.09,594.3945
1271,20221012,LH,400,20221128,0,11,47,0,P,0,284,,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1444,101000,113400,2,Y,566.09,509.481,523.63325,566.09,594.3945
1264,20220917,LH,400,20221128,0,11,72,0,P,0,284,,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1444,101000,113400,2,Y,632.7,569.43,585.2475,632.7,664.335
1405,20221016,LH,400,20221128,0,11,43,0,P,0,291,,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1444,101000,113400,2,Y,632.7,569.43,585.2475,632.7,664.335
1501,20221105,LH,400,20221128,0,11,23,0,P,0,101,X,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1444,101000,113400,2,Y,632.7,569.43,585.2475,601.065,632.7
3321,20221029,LH,401,20221128,0,11,30,0,P,0,61,,US,NEW YORK,JFK,DE,FRANKFURT,FRA,1435,183000,74500,2,Y,632.7,569.43,585.2475,632.7,664.335
3330,20221101,LH,401,20221128,0,11,27,0,P,0,284,X,US,NEW YORK,JFK,DE,FRANKFURT,FRA,1435,183000,74500,2,Y,632.7,569.43,585.2475,601.065,632.7
3363,20221106,LH,401,20221128,0,11,22,0,P,0,116,X,US,NEW YORK,JFK,DE,FRANKFURT,FRA,1435,183000,74500,2,Y,632.7,569.43,585.2475,601.065,632.7
3423,20220825,LH,401,20221128,0,11,95,0,P,0,294,,US,NEW YORK,JFK,DE,FRANKFURT,FRA,1435,183000,74500,2,Y,632.7,569.43,632.7,664.335,670.662
3468,20221010,LH,401,20221128,0,11,49,0,P,0,101,X,US,NEW YORK,JFK,DE,FRANKFURT,FRA,1435,183000,74500,2,Y,632.7,569.43,585.2475,632.7,664.335
3515,20221103,LH,401,20221128,0,11,25,0,P,0,101,X,US,NEW YORK,JFK,DE,FRANKFURT,FRA,1435,183000,74500,2,Y,632.7,569.43,585.2475,601.065,632.7
5669,20221112,LH,402,20221128,0,11,16,0,P,0,120,,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1455,133000,150500,2,Y,632.7,569.43,585.2475,601.065,632.7
5820,20221027,LH,402,20221128,0,11,32,0,P,0,188,,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1455,133000,150500,2,Y,632.7,569.43,585.2475,632.7,664.335
5888,20221028,LH,402,20221128,0,11,31,0,P,0,294,X,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1455,133000,150500,2,Y,632.7,569.43,585.2475,632.7,664.335
5929,20221011,LH,402,20221128,0,11,48,0,P,0,93,X,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1455,133000,150500,2,Y,632.7,569.43,585.2475,632.7,664.335
5959,20221024,LH,402,20221128,0,11,35,0,P,0,124,X,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1455,133000,150500,2,Y,632.7,569.43,585.2475,632.7,664.335
5978,20221102,LH,402,20221128,0,11,26,0,P,0,87,X,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1455,133000,150500,2,Y,632.7,569.43,585.2475,601.065,632.7
1234,20221018,LH,400,20221128,0,11,41,0,P,0,110,X,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1444,101000,113400,2,Y,632.7,569.43,585.2475,632.7,664.335
5884,20220826,LH,402,20221128,0,11,94,0,P,0,116,,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1455,133000,150500,2,Y,632.7,569.43,632.7,664.335,670.662
3459,20221019,LH,401,20221128,0,11,40,0,P,0,105,X,US,NEW YORK,JFK,DE,FRANKFURT,FRA,1435,183000,74500,2,Y,599.4,539.46,554.445,599.4,629.37
3482,20221014,LH,401,20221128,0,11,45,0,P,0,110,X,US,NEW YORK,JFK,DE,FRANKFURT,FRA,1435,183000,74500,2,Y,599.4,539.46,554.445,599.4,629.37
5901,20221014,LH,402,20221128,0,11,45,0,P,0,291,,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1455,133000,150500,2,Y,599.4,539.46,554.445,599.4,629.37
5952,20221019,LH,402,20221128,0,11,40,0,P,0,294,,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1455,133000,150500,2,Y,599.4,539.46,554.445,599.4,629.37
1681,20221102,UA,941,20221128,0,11,26,0,P,0,284,,DE,FRANKFURT,FRA,US,SAN FRANCISCO,SFO,1696,143000,170600,2,Y,695.4912,625.94208,643.32936,660.71664,695.4912
1909,20221012,UA,941,20221128,0,11,47,0,P,0,105,X,DE,FRANKFURT,FRA,US,SAN FRANCISCO,SFO,1696,143000,170600,2,Y,695.4912,625.94208,643.32936,695.4912,730.26576
1913,20221106,UA,941,20221128,0,11,22,0,P,0,119,X,DE,FRANKFURT,FRA,US,SAN FRANCISCO,SFO,1696,143000,170600,2,Y,695.4912,625.94208,643.32936,660.71664,695.4912
1932,20221107,UA,941,20221128,0,11,21,0,P,0,110,X,DE,FRANKFURT,FRA,US,SAN FRANCISCO,SFO,1696,143000,170600,2,Y,695.4912,625.94208,643.32936,660.71664,695.4912
1987,20221028,UA,941,20221128,0,11,31,0,P,0,116,X,DE,FRANKFURT,FRA,US,SAN FRANCISCO,SFO,1696,143000,170600,2,Y,695.4912,625.94208,643.32936,695.4912,730.26576
1741,20221017,UA,941,20221128,0,11,42,0,P,0,188,,DE,FRANKFURT,FRA,US,SAN FRANCISCO,SFO,1696,143000,170600,2,Y,818.2326,736.40934,756.865155,818.2326,859.14423
1805,20221020,UA,941,20221128,0,11,39,0,P,0,116,,DE,FRANKFURT,FRA,US,SAN FRANCISCO,SFO,1696,143000,170600,2,Y,818.2326,736.40934,756.865155,818.2326,859.14423
1813,20221104,UA,941,20221128,0,11,24,0,P,0,116,X,DE,FRANKFURT,FRA,US,SAN FRANCISCO,SFO,1696,143000,170600,2,Y,818.2326,736.40934,756.865155,777.32097,818.2326
9886,20221118,LH,2402,20221228,2,12,40,0,P,0,294,,DE,FRANKFURT,FRA,DE,BERLIN,SXF,165,103000,113500,2,Y,217.8,196.02,201.465,217.8,228.69
9926,20221005,LH,2402,20221228,2,12,84,0,P,0,119,X,DE,FRANKFURT,FRA,DE,BERLIN,SXF,165,103000,113500,2,Y,217.8,196.02,201.465,217.8,228.69
9942,20221124,LH,2402,20221228,2,12,34,0,P,0,93,X,DE,FRANKFURT,FRA,DE,BERLIN,SXF,165,103000,113500,2,Y,217.8,196.02,201.465,217.8,228.69
9503,20220903,LH,2402,20221228,2,12,116,0,P,0,61,,DE,FRANKFURT,FRA,DE,BERLIN,SXF,165,103000,113500,2,Y,242,217.8,242,254.1,256.52
9582,20221016,LH,2402,20221228,2,12,73,0,P,0,93,X,DE,FRANKFURT,FRA,DE,BERLIN,SXF,165,103000,113500,2,Y,242,217.8,223.85,242,254.1
9758,20221023,LH,2402,20221228,2,12,66,0,P,0,121,,DE,FRANKFURT,FRA,DE,BERLIN,SXF,165,103000,113500,2,Y,242,217.8,223.85,242,254.1
9778,20220811,LH,2402,20221228,2,12,139,0,P,0,122,X,DE,FRANKFURT,FRA,DE,BERLIN,SXF,165,103000,113500,2,Y,242,217.8,242,254.1,256.52
9818,20220819,LH,2402,20221228,2,12,131,0,P,0,116,,DE,FRANKFURT,FRA,DE,BERLIN,SXF,165,103000,113500,2,Y,242,217.8,242,254.1,256.52
9922,20220828,LH,2402,20221228,2,12,122,0,P,0,105,X,DE,FRANKFURT,FRA,DE,BERLIN,SXF,165,103000,113500,2,Y,242,217.8,242,254.1,256.52
9500,20221024,LH,2402,20221228,2,12,65,0,P,0,121,,DE,FRANKFURT,FRA,DE,BERLIN,SXF,165,103000,113500,2,Y,205.69,185.121,190.26325,205.69,215.9745
9512,20221014,LH,2402,20221228,2,12,75,0,P,0,284,X,DE,FRANKFURT,FRA,DE,BERLIN,SXF,165,103000,113500,2,Y,205.69,185.121,190.26325,205.69,215.9745
9517,20221019,LH,2402,20221228,2,12,70,0,P,0,105,,DE,FRANKFURT,FRA,DE,BERLIN,SXF,165,103000,113500,2,Y,205.69,185.121,190.26325,205.69,215.9745
9533,20221213,LH,2402,20221228,2,12,15,0,P,0,115,X,DE,FRANKFURT,FRA,DE,BERLIN,SXF,165,103000,113500,2,Y,205.69,185.121,190.26325,195.4055,205.69
9536,20221205,LH,2402,20221228,2,12,23,0,P,0,115,,DE,FRANKFURT,FRA,DE,BERLIN,SXF,165,103000,113500,2,Y,205.69,185.121,190.26325,195.4055,205.69
9541,20221017,LH,2402,20221228,2,12,72,0,P,0,294,X,DE,FRANKFURT,FRA,DE,BERLIN,SXF,165,103000,113500,2,Y,229.89,206.901,212.64825,229.89,241.3845
9605,20221130,LH,2402,20221228,2,12,28,0,P,0,294,,DE,FRANKFURT,FRA,DE,BERLIN,SXF,165,103000,113500,2,Y,205.69,185.121,190.26325,195.4055,205.69
