ID,LINKEDIN,HRTRAINING,SICKDAYS
10633,Yes,Yes,11
10634,No,Yes,11
10635,Yes,Yes,8
10636,No,No,11
10637,No,No,11
10638,No,Yes,9
10639,Yes,No,11
10640,No,No,7
10641,Yes,No,12
10642,Yes,Yes,23
10643,No,No,12
10644,Yes,Yes,19
10645,No,No,14
10646,No,No,11
10647,No,Yes,12
10648,No,No,12
10649,Yes,No,13
10650,No,Yes,14
10651,No,Yes,13
10652,Yes,No,11
10653,No,Yes,11
10654,Yes,No,6
10655,Yes,No,10
10656,Yes,No,8
10657,Yes,Yes,11
10658,Yes,Yes,3
10659,No,No,8
10660,No,No,12
10661,No,No,10
10662,Yes,No,6
10663,No,No,15
10664,Yes,No,12
10665,Yes,No,12
10666,No,No,8
10667,No,No,15
10668,No,No,10
10669,Yes,Yes,19
10670,Yes,No,8
10671,Yes,Yes,11
10672,No,No,13
10673,No,No,12
10674,Yes,Yes,10
10675,No,Yes,7
10676,No,No,6
10677,No,Yes,8
10678,Yes,No,15
10679,Yes,No,11
10680,Yes,Yes,12
10681,Yes,No,12
10682,Yes,Yes,10
10683,No,No,8
10684,Yes,No,9
10685,Yes,No,12
10686,Yes,No,11
10687,No,No,11
10688,Yes,Yes,10
10689,No,No,10
10690,Yes,Yes,12
10691,Yes,Yes,11
10692,No,Yes,8
10693,Yes,Yes,18
10694,No,No,10
10695,Yes,No,12
10696,Yes,No,12
10697,No,No,12
10698,No,No,13
10699,No,No,8
10700,Yes,No,8
10701,Yes,No,12
10702,No,No,14
10703,No,No,7
10704,No,No,9
10705,No,Yes,14
10706,No,No,13
10707,No,Yes,11
10708,No,No,14
10709,No,No,11
10710,No,Yes,13
10711,No,No,9
10712,No,No,10
10713,Yes,Yes,11
10714,Yes,No,12
10715,Yes,No,8
10716,No,Yes,9
10717,Yes,Yes,11
10718,No,No,10
10719,No,No,8
10720,Yes,No,19
10721,No,No,8
10722,No,Yes,22
10723,No,No,8
10724,Yes,No,9
10725,No,Yes,11
10726,No,No,7
10727,No,No,15
10728,Yes,Yes,13
10729,Yes,Yes,9
10730,Yes,No,13
10731,No,No,14
10732,Yes,Yes,11
10733,Yes,No,7
10734,Yes,No,15
10735,Yes,No,8
10736,Yes,No,4
10737,Yes,No,7
10738,No,Yes,13
10739,Yes,Yes,19
10740,Yes,Yes,14
10741,No,Yes,10
10742,Yes,No,9
10743,No,Yes,13
10744,No,No,8
10745,No,No,8
10746,Yes,Yes,5
10747,Yes,No,13
10748,No,Yes,8
10749,No,No,10
10750,Yes,No,7
10751,No,No,12
10752,Yes,No,10
10753,Yes,Yes,9
10754,No,No,12
10755,No,No,7
10756,Yes,No,10
10757,No,No,7
10758,No,Yes,9
10759,Yes,Yes,7
10760,Yes,Yes,8
10761,No,No,6
10762,Yes,Yes,7
10763,No,No,11
10764,Yes,No,11
10765,No,No,14
10766,Yes,Yes,1
10767,Yes,No,6
10768,Yes,Yes,13
10769,Yes,Yes,8
10770,No,Yes,11
10771,Yes,No,7
10772,No,Yes,13
10773,Yes,No,10
10774,No,No,5
10775,No,Yes,13
10776,No,No,14
10777,No,No,9
10778,No,No,7
10779,Yes,No,14
10780,No,No,9
10781,Yes,No,11
10782,No,No,9
10783,No,No,9
10784,No,No,5
10785,Yes,No,8
10786,No,Yes,15
10787,Yes,No,11
10788,Yes,Yes,7
10789,No,Yes,12
10790,Yes,Yes,14
10791,Yes,No,11
10792,Yes,No,9
10793,Yes,No,11
10794,Yes,No,4
10795,Yes,No,10
10796,No,Yes,10
10797,Yes,No,14
10798,Yes,No,10
10799,No,No,9
10800,No,No,9
10801,Yes,Yes,11
10802,Yes,Yes,14
10803,No,No,11
10804,Yes,Yes,15
10805,No,Yes,14
10806,No,Yes,9
10807,No,Yes,10
10808,Yes,Yes,13
10809,Yes,Yes,10
10810,No,Yes,17
10811,No,No,9
10812,Yes,No,9
10813,No,Yes,11
10814,No,No,8
10815,No,Yes,14
10816,No,No,11
10817,Yes,Yes,8
10818,Yes,Yes,14
10819,Yes,Yes,15
10820,Yes,Yes,15
10821,No,Yes,11
10822,Yes,No,12
10823,Yes,No,6
10824,Yes,No,6
10825,Yes,No,9
10826,No,No,11
10827,Yes,Yes,14
10828,Yes,No,12
10829,No,No,6
10830,No,Yes,8
10831,No,No,10
10832,Yes,Yes,21
10833,Yes,No,11
10834,No,No,9
10835,Yes,No,10
10836,No,No,14
10837,Yes,Yes,8
10838,Yes,Yes,8
10839,No,No,10
10840,No,No,12
10841,Yes,Yes,13
10842,Yes,Yes,17
10843,Yes,No,9
10844,No,No,10
10845,Yes,Yes,9
10846,Yes,No,8
10847,No,Yes,8
10848,Yes,No,14
10849,Yes,Yes,2
10850,Yes,Yes,5
10851,No,Yes,10
10852,Yes,Yes,10
10853,Yes,Yes,13
10854,No,No,10
10855,No,No,8
10856,No,No,11
10857,Yes,No,8
10858,Yes,No,12
10859,Yes,No,10
10860,No,No,13
10861,Yes,Yes,6
10862,Yes,Yes,9
10863,Yes,No,7
10864,No,No,14
10865,Yes,Yes,19
10866,No,No,17
10867,Yes,No,6
10868,Yes,No,12
10869,Yes,No,9
10870,No,Yes,14
10871,Yes,Yes,10
10872,Yes,Yes,14
10873,Yes,Yes,8
10874,Yes,Yes,13
10875,No,No,17
10876,Yes,No,9
10877,Yes,No,13
10878,Yes,No,14
10879,Yes,No,16
10880,No,Yes,17
10881,No,No,12
10882,Yes,No,8
10883,No,No,13
10884,No,Yes,9
10885,Yes,Yes,11
10886,Yes,No,12
10887,No,Yes,8
10888,Yes,No,10
10889,No,Yes,13
10890,No,No,4
10891,Yes,Yes,13
10892,No,No,10
10893,No,No,10
10894,Yes,No,8
10895,Yes,No,10
10896,Yes,No,5
10897,Yes,Yes,10
10898,Yes,No,5
10899,No,No,9
10900,No,No,20
10901,No,No,9
10902,No,No,11
10903,Yes,No,7
10904,No,Yes,3
10905,Yes,No,6
10906,No,No,8
10907,No,Yes,13
10908,Yes,No,12
10909,Yes,No,11
10910,No,Yes,12
10911,Yes,Yes,13
10912,No,No,8
10913,Yes,Yes,7
10914,Yes,Yes,6
10915,No,No,12
10916,Yes,No,12
10917,No,No,10
10918,Yes,No,6
10919,Yes,No,9
10920,No,No,13
10921,Yes,Yes,9
10922,No,No,14
10923,Yes,No,15
10924,Yes,Yes,15
10925,No,Yes,12
10926,Yes,Yes,14
10927,Yes,No,10
10928,No,No,8
10929,No,Yes,6
10930,Yes,No,6
10931,No,No,7
10932,Yes,No,9
10933,Yes,No,3
10934,No,Yes,16
10935,Yes,No,2
10936,Yes,Yes,16
10937,Yes,No,13
10938,Yes,Yes,12
10939,Yes,Yes,10
10940,Yes,No,14
10941,No,No,14
10942,Yes,No,6
10943,Yes,Yes,11
10944,No,No,14
10945,No,No,7
10946,Yes,No,9
10947,Yes,No,11
10948,Yes,No,9
10949,Yes,Yes,18
10950,Yes,No,15
10951,No,Yes,8
10952,No,No,12
10953,Yes,No,7
10954,No,No,9
10955,No,No,10
10956,Yes,No,8
10957,Yes,No,11
10958,Yes,No,9
10959,Yes,Yes,10
10960,Yes,Yes,11
10961,Yes,Yes,5
10962,Yes,No,7
10963,No,Yes,10
10964,Yes,No,10
10965,Yes,No,7
10966,No,No,9
10967,No,Yes,8
10968,Yes,Yes,12
10969,No,No,8
10970,Yes,Yes,13
10971,No,Yes,17
10972,Yes,Yes,9
10973,Yes,No,10
10974,Yes,Yes,16
10975,Yes,Yes,12
10976,No,Yes,8
10977,No,No,10
10978,Yes,No,9
10979,No,No,7
10980,No,Yes,8
10981,No,Yes,9
10982,Yes,Yes,12
10983,Yes,Yes,12
10984,No,Yes,10
10985,Yes,Yes,14
10986,Yes,No,15
10987,Yes,No,13
10988,Yes,Yes,11
10989,Yes,Yes,14
10990,Yes,Yes,11
10991,Yes,No,10
10992,No,No,12
10993,Yes,No,18
10994,Yes,Yes,14
10995,No,No,10
10996,Yes,No,10
10997,Yes,No,9
10998,Yes,Yes,16
10999,Yes,Yes,9
11000,Yes,Yes,16
11001,Yes,Yes,13
11002,No,No,9
11003,Yes,No,8
11004,Yes,No,4
11005,Yes,No,13
11006,Yes,No,7
11007,No,No,8
11008,No,No,7
11009,No,No,5
11010,No,No,9
11011,No,Yes,19
11012,No,Yes,13
11013,Yes,No,14
11014,Yes,Yes,9
11015,Yes,No,6
11016,Yes,No,8
11017,No,Yes,10
11018,No,No,17
11019,No,No,12
11020,No,No,6
11021,No,No,12
11022,Yes,Yes,10
11023,No,No,11
11024,Yes,No,8
11025,No,Yes,16
11026,No,No,7
11027,Yes,Yes,11
11028,No,Yes,13
11029,No,Yes,13
11030,No,Yes,9
11031,Yes,No,8
11032,Yes,Yes,12
11033,Yes,No,7
11034,Yes,Yes,15
11035,Yes,No,8
11036,Yes,No,7
11037,No,No,8
11038,No,No,8
11039,No,No,5
11040,Yes,Yes,11
11041,No,No,12
11042,Yes,No,12
11043,No,No,5
11044,No,No,15
11045,No,No,14
11046,No,No,10
11047,Yes,Yes,10
11048,No,No,13
11049,Yes,No,9
11050,No,No,7
11051,No,Yes,13
11052,No,No,7
11053,No,No,7
11054,Yes,Yes,13
11055,Yes,No,9
11056,Yes,Yes,13
11057,Yes,No,10
11058,No,Yes,9
11059,Yes,No,5
11060,Yes,No,11
11061,No,No,9
11062,No,No,10
11063,No,Yes,10
11064,No,Yes,5
11065,No,Yes,11
11066,Yes,No,8
11067,No,Yes,13
11068,Yes,Yes,15
11069,Yes,Yes,20
11070,Yes,No,12
11071,Yes,Yes,19
11072,Yes,No,11
11073,No,No,10
11074,Yes,No,9
11075,Yes,Yes,6
11076,Yes,No,10
11077,No,Yes,14
11078,No,No,13
11079,No,Yes,3
11080,No,No,9
11081,Yes,No,13
11082,Yes,No,9
11083,No,Yes,15
11084,No,Yes,11
11085,Yes,No,4
11086,No,No,9
11087,No,No,10
11088,No,No,10
11089,Yes,No,10
11090,Yes,No,13
11091,Yes,Yes,9
11092,Yes,No,15
11093,No,Yes,14
11094,No,No,12
11095,Yes,Yes,12
11096,Yes,No,9
11097,Yes,No,8
11098,No,Yes,8
11099,No,No,9
11100,No,Yes,13
11101,No,No,18
11102,Yes,No,12
11103,No,Yes,11
11104,No,Yes,15
11105,No,No,8
11106,Yes,No,11
11107,No,Yes,12
11108,No,No,10
11109,Yes,No,5
11110,Yes,No,4
11111,Yes,Yes,15
11112,Yes,No,7
11113,Yes,No,9
11114,Yes,Yes,16
11115,No,Yes,8
11116,Yes,Yes,15
11117,No,No,6
11118,No,Yes,22
11119,Yes,No,13
11120,Yes,No,12
11121,Yes,Yes,4
11122,No,No,10
11123,No,Yes,4
11124,Yes,Yes,12
11125,Yes,Yes,10
11126,No,Yes,9
11127,Yes,No,11
11128,Yes,Yes,10
11129,No,No,5
11130,No,Yes,10
11131,No,No,10
11132,Yes,No,19
11133,Yes,No,11
11134,Yes,No,12
11135,Yes,No,11
11136,Yes,No,13
11137,Yes,Yes,14
11138,No,No,7
11139,Yes,No,6
11140,No,No,12
11141,No,Yes,11
11142,No,Yes,13
11143,No,No,20
11144,Yes,Yes,10
11145,Yes,Yes,15
11146,Yes,Yes,10
11147,Yes,Yes,7
11148,Yes,No,18
11149,No,No,12
11150,No,No,13
11151,No,No,10
11152,No,No,14
11153,Yes,No,15
11154,Yes,No,9
11155,Yes,Yes,13
11156,Yes,Yes,5
11157,Yes,Yes,14
11158,No,No,5
11159,No,No,11
11160,Yes,No,11
11161,No,Yes,10
11162,No,No,5
11163,Yes,No,9
11164,No,Yes,12
11165,Yes,No,11
11166,Yes,Yes,11
11167,No,No,8
11168,Yes,No,11
11169,No,No,14
11170,Yes,No,8
11171,Yes,No,9
11172,Yes,Yes,17
11173,No,No,9
11174,Yes,No,10
11175,No,No,10
11176,No,Yes,16
11177,Yes,Yes,15
11178,No,No,14
11179,Yes,Yes,8
11180,Yes,No,4
11181,Yes,No,10
11182,Yes,No,12
11183,No,No,11
11184,No,Yes,15
11185,No,No,9
11186,No,Yes,8
11187,Yes,No,7
11188,Yes,No,10
11189,No,No,8
11190,Yes,Yes,9
11191,No,Yes,7
11192,Yes,Yes,15
11193,No,No,12
11194,No,No,10
11195,No,No,9
11196,Yes,No,12
11197,Yes,No,10
11198,No,No,12
11199,Yes,No,7
11200,Yes,Yes,3
11201,Yes,No,6
11202,No,No,7
11203,No,No,12
11204,Yes,No,12
11205,No,No,10
11206,Yes,No,10
11207,Yes,Yes,13
11208,No,Yes,7
11209,No,Yes,10
11210,No,Yes,9
11211,Yes,Yes,11
11212,Yes,Yes,12
11213,Yes,No,5
11214,Yes,Yes,12
11215,Yes,Yes,13
11216,No,Yes,9
11217,No,No,11
11218,Yes,Yes,16
11219,No,No,13
11220,No,Yes,7
11221,Yes,No,3
11222,No,No,10
11223,No,Yes,6
11224,Yes,No,6
11225,Yes,No,16
11226,No,No,9
11227,No,No,16
11228,Yes,No,18
11229,No,Yes,16
11230,Yes,No,3
11231,Yes,Yes,10
11232,Yes,No,9
11233,No,Yes,6
11234,No,Yes,16
11235,Yes,Yes,10
11236,Yes,No,12
11237,Yes,Yes,7
11238,Yes,Yes,18
11239,Yes,No,9
11240,Yes,No,14
11241,No,No,11
11242,No,No,10
11243,Yes,No,11
11244,No,No,13
11245,No,No,14
11246,Yes,No,8
11247,No,No,5
11248,Yes,No,8
11249,No,No,13
11250,Yes,Yes,12
11251,No,Yes,12
11252,Yes,Yes,12
11253,No,No,22
11254,No,No,4
11255,No,No,13
11256,No,No,12
11257,No,No,8
11258,Yes,Yes,17
11259,No,No,14
11260,No,No,7
11261,No,Yes,12
11262,Yes,Yes,6
11263,No,No,12
11264,Yes,No,12
11265,No,No,17
11266,Yes,No,10
11267,Yes,Yes,18
11268,Yes,No,19
11269,No,No,10
11270,No,No,10
11271,No,Yes,15
11272,No,No,4
11273,No,No,9
11274,Yes,No,10
11275,Yes,Yes,19
11276,Yes,No,12
11277,Yes,No,10
11278,No,Yes,12
11279,No,Yes,7
11280,Yes,Yes,17
11281,Yes,No,18
11282,Yes,No,7
11283,No,No,7
11284,No,No,15
11285,Yes,No,9
11286,Yes,Yes,8
11287,Yes,No,8
11288,No,Yes,4
11289,Yes,No,6
11290,Yes,Yes,9
11291,Yes,Yes,11
11292,No,No,11
11293,Yes,No,8
11294,No,Yes,8
11295,No,No,8
11296,No,No,7
11297,Yes,Yes,12
11298,No,No,5
11299,Yes,Yes,8
11300,Yes,Yes,7
11301,No,No,15
11302,No,Yes,9
11303,No,No,14
11304,Yes,Yes,12
11305,Yes,Yes,11
11306,No,Yes,13
11307,No,Yes,17
11308,No,No,8
11309,Yes,Yes,4
11310,Yes,No,12
11311,Yes,No,7
11312,Yes,Yes,11
11313,Yes,Yes,10
11314,Yes,Yes,14
11315,Yes,Yes,17
11316,Yes,No,12
11317,Yes,No,13
11318,No,No,11
11319,No,No,11
11320,No,No,8
